Word Number,Word/Phrase,Circle Count,Single Underline Count,Double Underline Count,Wavy Underline Count
1,High,1,12,0,0
2,School,0,20,0,0
3,English,0,0,0,0
4,Reading,0,0,0,0
5,Comprehension,1,1,0,0
6,The,1,17,0,0
7,Power,0,0,13,1
8,of,1,0,0,0
9,Persistence,0,0,10,0
10,in,0,0,0,0
11,Scientific,0,0,0,0
12,Exploration,1,0,0,0
13,In,20,15,12,2
14,the,14,12,0,0
15,history,7,0,0,0
16,of,2,0,0,0
17,science,1,1,0,0
18,many,0,0,0,0
19,breakthroughs,0,1,0,1
20,have,0,0,0,0
21,come,0,1,0,0
22,not,0,0,0,0
23,from,0,0,0,0
24,sudden,0,0,1,1
25,inspirations,1,1,1,0
26,but,0,0,0,0
27,from,0,0,0,0
28,long-term,1,1,0,1
29,persistence,1,1,0,1
30,Marie,0,0,0,0
31,Curie,0,0,0,0
32,the,0,0,0,0
33,first,1,0,0,0
34,woman,0,0,0,0
35,to,0,0,0,0
36,win,0,0,0,0
37,a,0,0,0,0
38,Nobel,0,0,0,1
39,Prize,1,0,0,1
40,and,1,0,0,0
41,the,0,0,0,0
42,only,0,0,0,1
43,person,1,0,0,0
44,to,0,0,0,0
45,win,0,0,0,0
46,in,0,0,1,0
47,two,0,0,1,0
48,scientific,0,0,0,0
49,fields,0,0,0,0
50,is,0,0,0,0
51,a,0,0,0,0
52,perfect,1,1,1,0
53,example,0,1,1,1
54,In,1,0,0,0
55,1896,1,0,0,0
56,after,0,0,0,0
57,Henri,0,0,0,0
58,Becquerel,0,1,0,1
59,discovered,1,0,0,0
60,uranium's,0,1,0,1
61,radioactivity,1,0,1,1
62,Curie,1,0,0,0
63,became,0,0,0,0
64,fascinated,0,1,0,0
65,by,0,0,0,0
66,this,0,1,0,0
67,unknown,0,0,0,0
68,phenomenon,1,0,0,1
69,She,0,0,0,0
70,decided,1,0,0,0
71,to,0,0,0,0
72,study,0,0,0,0
73,it,0,0,0,0
74,with,0,0,0,0
75,her,0,0,0,0
76,husband,0,0,0,0
77,Pierre,1,0,0,1
78,even,1,0,0,0
79,though,0,0,0,0
80,they,1,0,0,0
81,had,0,0,0,0
82,limited,1,0,0,0
83,resources,1,0,0,1
84,Their,0,0,0,0
85,lab,0,0,0,0
86,was,0,0,0,0
87,a,0,0,0,0
88,cold,1,0,0,0
89,damp,0,1,0,0
90,shed,0,1,0,0
91,with,0,1,0,0
92,no,0,1,0,0
93,proper,1,0,1,0
94,equipment,0,1,0,0
95,For,0,0,0,0
96,four,0,0,0,0
97,years,1,0,0,0
98,they,0,0,0,0
99,worked,1,0,0,0
100,day,0,1,0,0
101,and,0,1,0,0
102,night,0,1,0,0
103,boiling,1,0,0,1
104,tons,1,0,0,0
105,of,0,0,0,0
106,pitchblende,1,1,0,1
107,a,1,0,0,0
108,mineral,0,1,0,0
109,containing,1,0,0,0
110,uranium,1,1,0,1
111,to,1,0,0,0
112,extract,1,0,1,0
113,tiny,1,0,1,0
114,amounts,0,0,1,0
115,of,0,0,0,0
116,new,0,0,0,0
117,radioactive,0,0,1,0
118,elements,0,0,0,0
119,The,1,0,0,1
120,process,1,0,0,0
121,was,0,1,0,0
122,extremely,1,1,1,1
123,tough,1,0,0,0
124,They,0,1,0,0
125,had,0,0,0,0
126,to,0,0,0,0
127,stir,1,0,0,0
128,the,1,0,0,1
129,mixture,0,0,0,0
130,manually,0,0,0,0
131,for,0,0,0,0
132,hours,1,0,0,0
133,each,1,0,0,0
134,day,0,0,0,0
135,and,0,0,0,0
136,the,0,0,0,0
137,harmful,1,0,0,0
138,radiation,1,0,0,0
139,began,0,0,0,0
140,to,0,0,0,0
141,affect,0,0,0,1
142,their,1,1,0,1
143,health,0,0,0,1
144,Pierre's,1,1,0,0
145,hands,0,0,0,0
146,became,1,1,0,0
147,sore,1,1,0,0
148,and,0,0,0,0
149,Marie,0,0,0,0
150,often,0,0,0,0
151,felt,0,0,1,0
152,exhausted,1,1,0,1
153,Many,1,0,0,1
154,people,0,0,0,0
155,laughed,0,0,0,0
156,at,0,1,0,0
157,their,0,0,0,0
158,pointless,0,1,1,0
159,effort,1,0,0,0
160,saying,0,0,0,0
161,they,0,1,0,0
162,would,0,0,0,0
163,never,0,0,0,0
164,find,1,0,0,0
165,anything,1,1,0,0
166,new,0,0,0,0
167,But,0,0,0,0
168,the,0,0,0,0
169,Curies,0,0,0,0
170,refused,0,0,0,0
171,to,0,0,1,0
172,give,0,0,0,0
173,up,0,1,1,0
174,Finally,1,1,0,0
175,in,1,0,0,0
176,1902,0,0,0,0
177,they,0,0,0,0
178,succeeded,0,1,0,1
179,in,1,1,1,0
180,isolating,0,1,1,1
181,radium,1,0,0,0
182,a,1,0,0,0
183,new,1,0,0,0
184,element,1,1,0,0
185,with,0,0,0,0
186,strong,1,0,0,0
187,radioactivity,1,0,1,0
188,Their,0,0,0,0
189,discovery,1,1,0,0
190,revolutionized,0,0,1,1
191,medicine,1,1,0,0
192,and,0,0,0,1
193,physics,1,0,0,0
194,leading,0,1,0,0
195,to,0,1,0,1
196,new,0,0,0,1
197,treatments,0,1,0,1
198,for,1,0,0,0
199,cancer,1,0,0,0
200,Later,0,1,0,0
201,when,0,0,0,0
202,asked,0,0,0,0
203,about,0,0,0,0
204,their,0,0,0,0
205,success,0,1,0,0
206,Marie,0,0,0,0
207,Curie,1,1,0,0
208,said,0,0,0,0
209,Nothing,0,0,0,1
210,in,0,0,0,0
211,life,0,0,0,0
212,is,0,0,0,0
213,to,0,0,0,0
214,be,0,0,0,0
215,feared,1,1,0,0
216,it,0,0,0,0
217,is,0,0,0,0
218,only,0,0,0,0
219,to,0,1,1,0
220,be,0,0,0,0
221,understood,0,1,0,1
222,We,0,0,0,0
223,must,0,0,0,0
224,have,0,0,0,0
225,perseverance,1,0,0,1
226,and,0,0,0,0
227,above,0,0,0,0
228,all,1,0,0,0
229,confidence,0,1,0,0
230,in,1,0,0,1
231,ourselves,0,1,0,1
232,This,0,0,0,0
233,story,1,0,0,0
234,shows,0,0,0,0
235,that,0,0,0,0
236,persistence,1,1,0,1
237,is,0,0,0,0
238,the,0,0,0,1
239,key,1,0,0,0
240,to,0,0,1,0
241,overcoming,1,0,1,1
242,challenges,1,1,1,1
243,No,0,0,0,0
244,matter,1,0,0,0
245,how,1,0,0,0
246,difficult,1,0,1,0
247,the,1,0,0,0
248,journey,1,0,1,1
249,is,1,0,0,1
250,those,1,0,0,1
251,who,1,0,0,1
252,keep,1,0,0,0
253,going,1,0,0,0
254,will,1,0,0,0
255,eventually,0,1,0,0
256,reach,1,1,1,0
257,their,0,1,0,0
258,goals,1,1,0,0
