Word Number,Word/Phrase,Circle Count,Single Underline Count,Double Underline Count,Wavy Underline Count
1,High,1,0,0,0
2,School,0,0,0,0
3,English,0,0,0,0
4,Reading,0,0,0,0
5,Comprehension,1,1,0,0
6,The,2,0,0,0
7,Power,0,0,0,1
8,of,1,0,0,0
9,Persistence,2,2,0,6
10,in,2,0,0,0
11,Scientific,0,0,0,0
12,Exploration,3,0,0,0
13,In,2,0,0,0
14,the,3,0,0,0
15,history,0,0,0,0
16,of,1,0,0,0
17,science,1,1,0,0
18,many,0,0,0,0
19,breakthroughs,0,0,0,1
20,have,0,0,0,0
21,come,0,1,0,0
22,not,0,0,0,0
23,from,0,0,0,0
24,sudden,0,0,0,1
25,inspirations,0,3,0,0
26,but,0,0,0,0
27,from,0,0,0,0
28,long,0,0,0,0
29,term,0,0,0,0
30,persistence,1,2,0,6
31,Marie,0,0,0,0
32,Curie,3,2,0,0
33,the,2,0,0,0
34,first,0,0,0,0
35,woman,0,0,0,0
36,to,0,0,0,0
37,win,0,0,0,0
38,a,0,0,0,0
39,Nobel,0,0,0,0
40,Prize,2,0,0,0
41,and,1,0,1,0
42,the,2,0,0,0
43,only,1,0,0,1
44,person,1,0,0,0
45,to,0,0,0,0
46,win,0,0,0,0
47,in,2,0,0,0
48,two,0,0,0,0
49,scientific,0,0,0,0
50,fields,0,0,0,0
51,is,2,0,0,0
52,a,0,0,0,0
53,perfect,3,0,0,0
54,example,0,1,2,0
55,In,2,0,0,0
56,1896,2,0,0,0
57,after,0,0,0,0
58,Henri,1,0,0,0
59,Becquerel,1,2,0,1
60,discovered,5,0,0,0
61,uranium's,0,0,0,1
62,radioactivity,1,0,0,2
63,Curie,3,2,0,0
64,became,1,0,0,0
65,fascinated,0,1,0,0
66,by,0,0,0,0
67,this,1,1,0,0
68,unknown,0,0,0,0
69,phenomenon,0,0,0,0
70,She,0,0,0,0
71,decided,1,0,0,0
72,to,0,0,0,0
73,study,1,0,0,0
74,it,0,0,0,0
75,with,0,0,0,0
76,her,0,0,0,0
77,husband,0,0,0,0
78,Pierre,1,0,0,1
79,even,3,0,0,0
80,though,0,0,0,0
81,they,1,2,0,0
82,had,0,0,0,0
83,limited,2,0,0,0
84,resources,2,0,0,1
85,Their,0,1,0,0
86,lab,0,0,0,0
87,was,0,1,0,0
88,a,0,0,0,0
89,cold,1,0,0,0
90,damp,1,0,0,0
91,shed,0,0,0,0
92,with,0,1,0,0
93,no,1,0,0,0
94,proper,1,1,0,0
95,equipment,0,1,0,0
96,For,0,0,0,0
97,four,2,0,0,0
98,years,0,0,0,0
99,they,1,2,0,0
100,worked,1,0,0,0
101,day,0,0,0,0
102,and,1,0,1,0
103,night,0,0,0,0
104,boiling,3,0,0,0
105,tons,0,0,0,0
106,of,1,0,0,0
107,pitchblende,4,1,0,1
108,a,0,0,0,0
109,mineral,0,0,1,0
110,containing,0,0,0,0
111,uranium,0,1,0,1
112,to,0,0,0,0
113,extract,1,0,0,0
114,tiny,2,0,0,0
115,amounts,1,0,0,0
116,of,1,0,0,0
117,new,1,0,0,0
118,radioactive,1,0,1,0
119,elements,0,0,1,0
120,The,2,0,0,0
121,process,1,1,0,0
122,was,0,1,0,1
123,extremely,2,2,0,0
124,tough,1,0,0,0
125,They,1,2,0,0
126,had,0,0,0,0
127,to,0,0,0,0
128,stir,1,0,0,0
129,the,2,0,0,0
130,mixture,0,0,0,0
131,manually,0,0,0,0
132,for,0,0,0,0
133,hours,2,0,0,0
134,each,0,0,0,0
135,day,0,0,0,0
136,and,1,0,1,0
137,the,2,0,0,0
138,harmful,0,0,0,0
139,radiation,2,0,0,0
140,began,0,0,0,0
141,to,0,0,0,0
142,affect,1,0,0,0
143,their,0,1,0,0
144,health,0,0,0,0
145,Pierre's,1,1,0,0
146,hands,0,0,0,0
147,became,1,0,0,0
148,sore,0,0,0,0
149,and,1,0,1,0
150,Marie,0,0,0,0
151,often,0,0,0,0
152,felt,0,0,0,0
153,exhausted,2,2,0,1
154,Many,2,0,0,0
155,people,0,0,0,0
156,laughed,0,1,0,0
157,at,0,0,0,0
158,their,0,1,0,0
159,pointless,0,3,1,0
160,effort,3,0,0,0
161,saying,0,0,0,0
162,they,1,2,0,0
163,would,0,0,0,0
164,never,1,0,0,0
165,find,0,0,0,0
166,anything,1,1,0,0
167,new,1,0,0,0
168,But,0,0,0,0
169,the,2,0,0,0
170,Curies,0,0,0,0
171,refused,0,0,0,0
172,to,0,0,1,0
