word,mark_type,position
uranium's,wavy_underline,61
Pierre,circle,78
limited,circle,83
pitchblende,circle,107
hours,circle,133
radiation,circle,139
exhausted,single_underline,153
pointless,single_underline,159
isolating,double_underline,181
revolutionized,double_underline,191
treatments,single_underline,198
perseverance,circle,226
in,circle,10
in,circle,13
in,circle,47
in,circle,55
in,circle,176
in,circle,180
in,circle,211
in,circle,231
challenges,wavy_underline,243
Comprehension,circle,5
fascinated,single_underline,65
They,single_underline,81
They,single_underline,99
They,single_underline,125
They,single_underline,162
They,single_underline,178
element,circle,185
discovery,single_underline,190
Later,single_underline,201
the,circle,6
the,circle,14
the,circle,33
the,circle,42
the,circle,120
the,circle,129
the,circle,137
the,circle,169
the,circle,239
is,circle,51
is,circle,213
is,circle,218
is,circle,238
goals,circle,252
