| 单词编号 | 单词/短语       | ○ 数量 | ─ 数量 | ── 数量 | ~~~~ 数量 |
|----------|------------------|--------|--------|----------|------------|
| 1        | High             | 5      | 3      | 7        | 5          |
| 2        | School           | 4      | 6      | 4        | 6          |
| 3        | English          | 6      | 2      | 5        | 7          |
| 4        | Reading          | 3      | 5      | 6        | 6          |
| 5        | Comprehension    | 7      | 4      | 3        | 5          |
| 6        | The              | 2      | 6      | 5        | 7          |
| 7        | Power            | 12     | 3      | 2        | 3          |
| 8        | of               | 4      | 5      | 7        | 4          |
| 9        | Persistence      | 11     | 2      | 4        | 3          |
| 10       | in               | 3      | 7      | 5        | 5          |
| 11       | Scientific       | 5      | 4      | 9        | 2          |
| 12       | Exploration      | 10     | 3      | 3        | 4          |
| 13       | In               | 2      | 6      | 6        | 6          |
| 14       | the              | 4      | 5      | 4        | 7          |
| 15       | history          | 9      | 3      | 5        | 3          |
| 16       | of               | 3      | 6      | 7        | 4          |
| 17       | science          | 10     | 2      | 4        | 4          |
| 18       | many             | 5      | 4      | 5        | 6          |
| 19       | breakthroughs    | 12     | 3      | 3        | 2          |
| 20       | have             | 4      | 7      | 6        | 3          |
| 21       | come             | 3      | 10     | 4        | 3          |
| 22       | not              | 5      | 4      | 5        | 6          |
| 23       | from             | 2      | 6      | 7        | 5          |
| 24       | sudden           | 4      | 3      | 9        | 4          |
| 25       | inspirations     | 11     | 2      | 4        | 3          |
| 26       | but              | 3      | 5      | 6        | 6          |
| 27       | from             | 4      | 6      | 5        | 5          |
| 28       | long-term        | 5      | 3      | 10       | 2          |
| 29       | persistence      | 12     | 2      | 3        | 3          |
| 30       | Marie            | 4      | 5      | 4        | 7          |
| 31       | Curie            | 11     | 3      | 5        | 1          |
| 32       | the              | 2      | 6      | 6        | 6          |
| 33       | first            | 5      | 4      | 8        | 3          |
| 34       | woman            | 9      | 3      | 4        | 4          |
| 35       | to               | 3      | 7      | 16        | 6          |
| 36       | win              | 4      | 11     | 3        | 2          |
| 37       | a                | 2      | 5      | 6        | 7          |
| 38       | Nobel            | 5      | 4      | 4        | 4          |
| 39       | Prize            | 10     | 3      | 5        | 2          |
| 40       | and              | 3      | 6      | 6        | 5          |
| 41       | extremely        | 4      | 2      | 10       | 4          |
| 42       | tough            | 5      | 3      | 9        | 3          |
| 43       | stir             | 3      | 10     | 4        | 3          |
| 44       | the              | 2      | 6      | 17        | 7          |
